Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TestSuit,Chrome 88.0.4324.104,,,2021-01-28 11:09:48,2021-01-28 11:10:17,29.574s,PASSED
,,,,,,,
Test Cases/Login/TestLogin,Chrome 88.0.4324.104,,,2021-01-28 11:09:48,2021-01-28 11:10:03,14.908s,PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-28 11:09:49,2021-01-28 11:09:52,3.619s,PASSED
"navigateToUrl(""https://www.bigc.vn/"")",Chrome 88.0.4324.104,,,2021-01-28 11:09:52,2021-01-28 11:09:57,4.666s,PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-28 11:09:57,2021-01-28 11:09:57,0.176s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_NG NHP""))",Chrome 88.0.4324.104,,,2021-01-28 11:09:57,2021-01-28 11:09:58,0.721s,PASSED
"setText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_email""), username)",Chrome 88.0.4324.104,,,2021-01-28 11:09:58,2021-01-28 11:09:59,1.031s,PASSED
"setEncryptedText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_password""), password)",Chrome 88.0.4324.104,,,2021-01-28 11:09:59,2021-01-28 11:09:59,0.423s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/button_NG NHP""))",Chrome 88.0.4324.104,,,2021-01-28 11:09:59,2021-01-28 11:10:00,0.546s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_Tin tc Big C""))",Chrome 88.0.4324.104,,,2021-01-28 11:10:00,2021-01-28 11:10:02,2.442s,PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-28 11:10:02,2021-01-28 11:10:03,0.954s,PASSED
,,,,,,,
Test Cases/Login/TestLogin,Chrome 88.0.4324.104,,,2021-01-28 11:10:03,2021-01-28 11:10:17,13.768s,PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-28 11:10:03,2021-01-28 11:10:06,2.992s,PASSED
"navigateToUrl(""https://www.bigc.vn/"")",Chrome 88.0.4324.104,,,2021-01-28 11:10:06,2021-01-28 11:10:11,4.574s,PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-28 11:10:11,2021-01-28 11:10:11,0.198s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_NG NHP""))",Chrome 88.0.4324.104,,,2021-01-28 11:10:11,2021-01-28 11:10:12,0.653s,PASSED
"setText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_email""), username)",Chrome 88.0.4324.104,,,2021-01-28 11:10:12,2021-01-28 11:10:13,1.016s,PASSED
"setEncryptedText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_password""), password)",Chrome 88.0.4324.104,,,2021-01-28 11:10:13,2021-01-28 11:10:13,0.370s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/button_NG NHP""))",Chrome 88.0.4324.104,,,2021-01-28 11:10:13,2021-01-28 11:10:14,0.554s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_Tin tc Big C""))",Chrome 88.0.4324.104,,,2021-01-28 11:10:14,2021-01-28 11:10:16,2.444s,PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-28 11:10:16,2021-01-28 11:10:17,0.956s,PASSED
